ntips	nstates	ncores	rep	mean_time	median_time	method
256	64	2	1	91.1331928	93.4122475	tensorphylo
256	64	3	1	58.2899419	57.036453	tensorphylo
256	64	4	1	40.9334119	40.6274125	tensorphylo
256	128	1	1	461.9261966	463.3832915	tensorphylo
256	128	2	1	230.9096671	229.9121945	tensorphylo
256	128	3	1	177.3539214	177.0884915	tensorphylo
256	128	4	1	126.500662	126.303042	tensorphylo
512	2	1	1	12.7364245	11.9940785	tensorphylo
512	2	2	1	27.2126348	25.833608	tensorphylo
512	2	3	1	28.3913479	27.624078	tensorphylo
512	2	4	1	28.7569449	25.585558	tensorphylo
512	4	1	1	17.2477242	16.307258	tensorphylo
512	4	2	1	11.585534	10.6856045	tensorphylo
512	4	3	1	9.74611	8.9560605	tensorphylo
512	4	4	1	10.3556529	9.4012385	tensorphylo
512	8	1	1	27.357168	26.360745	tensorphylo
512	8	2	1	16.8454814	15.958676	tensorphylo
512	8	3	1	12.8632006	12.0725115	tensorphylo
512	8	4	1	11.1437385	10.2366545	tensorphylo
512	16	1	1	48.5253204	47.041309	tensorphylo
512	16	2	1	27.2224543	26.328396	tensorphylo
512	16	3	1	26.02229	26.4619125	tensorphylo
512	16	4	1	26.0338971	25.221765	tensorphylo
512	32	1	1	97.9689383	97.0227075	tensorphylo
512	32	2	1	55.9788826	54.9713035	tensorphylo
512	32	3	1	37.5002154	36.709678	tensorphylo
512	32	4	1	28.9962332	27.7464425	tensorphylo
512	64	1	1	306.4216754	305.2862255	tensorphylo
512	64	2	1	162.03774	161.1447805	tensorphylo
512	64	3	1	110.9146063	109.680945	tensorphylo
512	64	4	1	90.8099775	91.1936145	tensorphylo
512	128	1	1	883.9929312	881.9194095	tensorphylo
512	128	2	1	484.2221852	480.724836	tensorphylo
512	128	3	1	323.7597718	323.1750995	tensorphylo
512	128	4	1	244.3545552	244.161191	tensorphylo
1024	2	1	1	27.8338422	24.8389685	tensorphylo
1024	2	2	1	20.7355819	17.6350635	tensorphylo
1024	2	3	1	19.4564475	16.392579	tensorphylo
1024	2	4	1	28.760434	17.148332	tensorphylo
1024	4	1	1	33.9048762	30.809204	tensorphylo
1024	4	2	1	26.1957774	23.2516535	tensorphylo
1024	4	3	1	22.1354613	19.0873655	tensorphylo
1024	4	4	1	47.3694156	43.327201	tensorphylo
1024	8	1	1	54.5168923	51.074561	tensorphylo
1024	8	2	1	32.8287697	29.89843	tensorphylo
1024	8	3	1	27.2872999	24.215625	tensorphylo
1024	8	4	1	47.6727459	44.6963345	tensorphylo
1024	16	1	1	94.1383657	90.525253	tensorphylo
1024	16	2	1	54.7598911	51.575253	tensorphylo
1024	16	3	1	40.5233135	37.568792	tensorphylo
1024	16	4	1	34.6010767	29.742302	tensorphylo
1024	32	1	1	189.1883172	187.027814	tensorphylo
1024	32	2	1	104.0089148	100.82761	tensorphylo
1024	32	3	1	74.883958	71.926833	tensorphylo
1024	32	4	1	58.1256877	54.860829	tensorphylo
1024	64	1	1	612.5792452	609.9718625	tensorphylo
1024	64	2	1	342.6981433	339.6403305	tensorphylo
1024	64	3	1	236.5660763	233.156873	tensorphylo
1024	64	4	1	190.4952209	187.418134	tensorphylo
1024	128	1	1	1800.7639192	1796.2285525	tensorphylo
1024	128	2	1	946.8547831	942.248142	tensorphylo
1024	128	3	1	620.9837163	616.107246	tensorphylo
1024	128	4	1	495.1252824	492.264901	tensorphylo
32	2	1	2	0.8463589	0.801263	tensorphylo
32	2	2	2	1.9638467	1.9445275	tensorphylo
32	2	3	2	1.6572364	1.6562155	tensorphylo
32	2	4	2	1.8507933	1.8453485	tensorphylo
32	4	1	2	1.2481507	1.2266995	tensorphylo
32	4	2	2	1.4265499	1.4048035	tensorphylo
32	4	3	2	1.6890852	1.6725335	tensorphylo
32	4	4	2	1.6038708	1.5890165	tensorphylo
32	8	1	2	1.7049686	1.683829	tensorphylo
32	8	2	2	2.4780605	2.459303	tensorphylo
32	8	3	2	2.1703965	2.1660505	tensorphylo
32	8	4	2	4.1328041	3.369093	tensorphylo
32	16	1	2	3.4438524	3.4075715	tensorphylo
32	16	2	2	1.8483989	1.843852	tensorphylo
32	16	3	2	1.8873735	1.860006	tensorphylo
32	16	4	2	1.5668806	1.3032055	tensorphylo
32	32	1	2	6.9799261	6.9527185	tensorphylo
32	32	2	2	3.9738799	3.8201135	tensorphylo
32	32	3	2	3.3691422	3.3434885	tensorphylo
32	32	4	2	2.7234209	2.5248825	tensorphylo
32	64	1	2	21.6876962	21.741808	tensorphylo
32	64	2	2	12.2221902	12.2119935	tensorphylo
32	64	3	2	9.9755173	9.9344845	tensorphylo
32	64	4	2	7.0680351	7.044415	tensorphylo
32	128	1	2	61.6209213	61.513079	tensorphylo
32	128	2	2	35.7567027	35.576438	tensorphylo
32	128	3	2	27.3899926	27.3954415	tensorphylo
32	128	4	2	27.5806385	27.5501755	tensorphylo
64	2	1	2	1.4099367	1.3743405	tensorphylo
64	2	2	2	3.7250468	3.6807135	tensorphylo
64	2	3	2	3.6919188	3.6619765	tensorphylo
64	2	4	2	4.0742274	2.916166	tensorphylo
64	4	1	2	2.1651854	2.130401	tensorphylo
64	4	2	2	3.2958301	3.261017	tensorphylo
64	4	3	2	3.2364416	3.220058	tensorphylo
64	4	4	2	2.9450751	2.6010605	tensorphylo
64	8	1	2	3.5772336	3.536947	tensorphylo
64	8	2	2	4.1003403	4.0613165	tensorphylo
64	8	3	2	3.170571	3.072622	tensorphylo
64	8	4	2	2.9519303	2.921824	tensorphylo
64	16	1	2	6.8076154	6.8282425	tensorphylo
64	16	2	2	5.3248463	5.298922	tensorphylo
64	16	3	2	4.1536608	4.108774	tensorphylo
64	16	4	2	3.8341806	3.645064	tensorphylo
64	32	1	2	12.5449668	12.613978	tensorphylo
64	32	2	2	7.9955904	7.9547175	tensorphylo
64	32	3	2	6.8218137	6.7944995	tensorphylo
64	32	4	2	5.1018391	5.03562	tensorphylo
64	64	1	2	45.0798362	45.154776	tensorphylo
64	64	2	2	23.7304761	23.688078	tensorphylo
64	64	3	2	17.0903334	17.099501	tensorphylo
64	64	4	2	17.7478627	17.70995	tensorphylo
64	128	1	2	114.475895	114.9180595	tensorphylo
64	128	2	2	61.4469501	61.3746015	tensorphylo
64	128	3	2	46.3223617	46.293428	tensorphylo
64	128	4	2	35.9196039	35.873852	tensorphylo
128	2	1	2	2.9350506	2.8674785	tensorphylo
128	2	2	2	7.1888416	7.1097075	tensorphylo
128	2	3	2	6.265907	6.194321	tensorphylo
128	2	4	2	5.9552787	5.96099	tensorphylo
128	4	1	2	4.0944199	4.031735	tensorphylo
128	4	2	2	6.1539278	6.1089385	tensorphylo
128	4	3	2	5.6286235	5.5556845	tensorphylo
128	4	4	2	7.0894576	5.2479385	tensorphylo
128	8	1	2	6.9789544	6.949787	tensorphylo
128	8	2	2	8.8954543	8.818034	tensorphylo
128	8	3	2	6.8219203	6.760531	tensorphylo
128	8	4	2	6.6470102	6.0172215	tensorphylo
128	16	1	2	12.9055208	12.839847	tensorphylo
128	16	2	2	12.5303421	12.4421265	tensorphylo
128	16	3	2	8.3291131	8.259573	tensorphylo
128	16	4	2	7.0406676	6.9172125	tensorphylo
128	32	1	2	22.024667	21.947669	tensorphylo
128	32	2	2	13.8108787	13.608064	tensorphylo
128	32	3	2	9.7368522	9.659887	tensorphylo
128	32	4	2	7.7132398	7.620588	tensorphylo
128	64	1	2	79.7207403	78.9838555	tensorphylo
128	64	2	2	45.1557764	45.315373	tensorphylo
128	64	3	2	31.6235788	31.5402545	tensorphylo
128	64	4	2	21.684982	21.826637	tensorphylo
128	128	1	2	228.576148	228.857736	tensorphylo
128	128	2	2	123.479331	123.5182605	tensorphylo
128	128	3	2	84.6573699	84.523222	tensorphylo
128	128	4	2	76.0770785	75.918634	tensorphylo
256	2	1	2	6.4923131	6.271196	tensorphylo
256	2	2	2	12.3215373	12.1095755	tensorphylo
256	2	3	2	12.6379261	12.427141	tensorphylo
256	2	4	2	11.1897405	10.602887	tensorphylo
256	4	1	2	8.1744734	7.949408	tensorphylo
256	4	2	2	12.7423162	12.4823885	tensorphylo
256	4	3	2	12.2851949	11.9719385	tensorphylo
256	4	4	2	11.2844505	11.0521035	tensorphylo
256	8	1	2	14.3234402	14.142417	tensorphylo
256	8	2	2	8.8553235	8.5187545	tensorphylo
256	8	3	2	6.678244	6.4563315	tensorphylo
256	8	4	2	5.8256285	5.401299	tensorphylo
256	16	1	2	24.6597124	24.180324	tensorphylo
256	16	2	2	14.1169642	13.8824565	tensorphylo
256	16	3	2	9.8328455	9.600847	tensorphylo
256	16	4	2	7.5470176	7.145152	tensorphylo
256	32	1	2	48.0647387	47.55221	tensorphylo
256	32	2	2	25.1108805	24.815578	tensorphylo
256	32	3	2	22.0020801	21.7541695	tensorphylo
256	32	4	2	15.1292624	14.3086925	tensorphylo
256	64	1	2	148.2756226	146.892422	tensorphylo
256	64	2	2	103.4723191	103.5292435	tensorphylo
256	64	3	2	60.9743021	61.782818	tensorphylo
256	64	4	2	46.7610617	46.5686815	tensorphylo
256	128	1	2	468.8363079	468.0938225	tensorphylo
256	128	2	2	235.3840955	233.6815295	tensorphylo
256	128	3	2	170.4942852	170.2176705	tensorphylo
256	128	4	2	122.2063753	121.977788	tensorphylo
512	2	1	2	12.8475837	12.071753	tensorphylo
512	2	2	2	9.5771777	8.741282	tensorphylo
512	2	3	2	9.5556158	8.586958	tensorphylo
512	2	4	2	9.4530543	8.5411405	tensorphylo
512	4	1	2	17.6666663	16.750058	tensorphylo
512	4	2	2	11.8974128	10.9949085	tensorphylo
512	4	3	2	12.3485276	11.576842	tensorphylo
512	4	4	2	10.1156184	9.0963215	tensorphylo
512	8	1	2	29.7378822	28.7650875	tensorphylo
512	8	2	2	24.5376308	23.4819505	tensorphylo
512	8	3	2	25.9109873	25.182241	tensorphylo
512	8	4	2	23.5107817	22.598708	tensorphylo
512	16	1	2	47.36648	46.187525	tensorphylo
512	16	2	2	26.3572026	25.560999	tensorphylo
512	16	3	2	21.2582991	19.480986	tensorphylo
512	16	4	2	16.8407418	15.9584505	tensorphylo
512	32	1	2	98.9796416	97.889427	tensorphylo
512	32	2	2	52.6811665	51.363775	tensorphylo
512	32	3	2	37.381094	36.601397	tensorphylo
512	32	4	2	30.2155445	29.3299445	tensorphylo
512	64	1	2	306.7220906	304.754558	tensorphylo
512	64	2	2	157.2277225	155.765601	tensorphylo
512	64	3	2	110.4366529	109.6573905	tensorphylo
512	64	4	2	90.0833509	89.4147065	tensorphylo
512	128	1	2	835.9880402	826.8188125	tensorphylo
512	128	2	2	461.9862862	460.0089915	tensorphylo
512	128	3	2	308.7016936	308.0514705	tensorphylo
512	128	4	2	253.6489887	243.0888155	tensorphylo
1024	2	1	2	27.9743451	24.948746	tensorphylo
1024	2	2	2	43.0403691	48.7511935	tensorphylo
1024	2	3	2	86.0283279	85.35339	tensorphylo
1024	2	4	2	158.3603926	17.439596	tensorphylo
1024	4	1	2	36.4661175	33.2543005	tensorphylo
1024	4	2	2	24.6326032	21.5822155	tensorphylo
1024	4	3	2	20.6288671	17.5652815	tensorphylo
1024	4	4	2	20.3679308	17.212292	tensorphylo
1024	8	1	2	56.6666945	53.312956	tensorphylo
1024	8	2	2	92.7177485	103.679447	tensorphylo
1024	8	3	2	52.2807318	49.351249	tensorphylo
1024	8	4	2	47.2173917	43.015601	tensorphylo
1024	16	1	2	99.0788698	95.25571	tensorphylo
1024	16	2	2	54.9872566	51.896693	tensorphylo
1024	16	3	2	62.8171742	59.9710895	tensorphylo
1024	16	4	2	42.7490395	34.3245645	tensorphylo
1024	32	1	2	201.7932752	198.887638	tensorphylo
1024	32	2	2	103.2971466	100.17817	tensorphylo
1024	32	3	2	75.429463	72.419366	tensorphylo
1024	32	4	2	60.1988937	57.200658	tensorphylo
1024	64	1	2	558.2740195	550.87764	tensorphylo
1024	64	2	2	314.1521762	311.8704155	tensorphylo
1024	64	3	2	241.6917569	243.135412	tensorphylo
1024	64	4	2	179.9391846	182.633229	tensorphylo
1024	128	1	2	1802.0659808	1791.2378275	tensorphylo
1024	128	2	2	901.3368045	897.011817	tensorphylo
1024	128	3	2	633.9031484	629.215889	tensorphylo
1024	128	4	2	478.5447348	475.5967815	tensorphylo
32	2	1	3	0.7508125	0.7061635	tensorphylo
32	2	2	3	1.6748541	1.6537555	tensorphylo
32	2	3	3	1.8450656	1.8421095	tensorphylo
32	2	4	3	3.0393669	2.803785	tensorphylo
32	4	1	3	1.3391912	1.316797	tensorphylo
32	4	2	3	1.8844707	1.8713015	tensorphylo
32	4	3	3	1.5622148	1.551522	tensorphylo
32	4	4	3	1.8009742	1.695555	tensorphylo
32	8	1	3	1.6374006	1.6170195	tensorphylo
32	8	2	3	2.5183266	2.4970025	tensorphylo
32	8	3	3	2.1368462	2.1275105	tensorphylo
32	8	4	3	1.949919	1.902441	tensorphylo
32	16	1	3	2.8537271	2.829451	tensorphylo
32	16	2	3	3.2270239	3.2038015	tensorphylo
