ntips	nstates	this_algo	error	rep	mean_time	median_time	algo
128	8	2	6.61549096321323e-05	1	2.5376663	2.54446	RUNGE_KUTTA54
256	8	2	0.000150129958115031	1	5.3767277	5.3841815	RUNGE_KUTTA54
512	8	2	0.000274689829325325	1	10.3022381	10.367096	RUNGE_KUTTA54
1024	8	2	0.000515832025939744	1	20.8389019	20.8424115	RUNGE_KUTTA54
32	16	2	3.75150571301219e-05	1	1.0016095	1.0014865	RUNGE_KUTTA54
64	16	2	5.06578107035693e-05	1	2.1078182	2.0869205	RUNGE_KUTTA54
128	16	2	6.54803758664002e-05	1	3.0900265	3.092056	RUNGE_KUTTA54
256	16	2	0.000128544179631263	1	5.9885133	6.009821	RUNGE_KUTTA54
512	16	2	0.000291610729277636	1	12.1617521	12.167447	RUNGE_KUTTA54
1024	16	2	0.000528207870956976	1	24.5368641	24.3270425	RUNGE_KUTTA54
32	32	2	1.14010486171878e-05	1	1.0034545	0.989043	RUNGE_KUTTA54
64	32	2	5.37270740750273e-05	1	1.9237159	1.925401	RUNGE_KUTTA54
128	32	2	6.12523027996303e-05	1	3.4513636	3.4548855	RUNGE_KUTTA54
256	32	2	0.000139046116260033	1	7.2006086	7.1803505	RUNGE_KUTTA54
512	32	2	0.00025697324565499	1	13.1862109	13.160016	RUNGE_KUTTA54
1024	32	2	0.000600313205040948	1	27.7215719	27.607555	RUNGE_KUTTA54
32	2	3	1.2811375746935e-05	1	0.9185804	0.9148945	RUNGE_KUTTA_DOPRI5
64	2	3	2.0431273298982e-05	1	1.8250125	1.8196415	RUNGE_KUTTA_DOPRI5
128	2	3	3.32097663715558e-05	1	3.203371	3.206405	RUNGE_KUTTA_DOPRI5
256	2	3	7.51324956240751e-05	1	7.1747417	7.1827285	RUNGE_KUTTA_DOPRI5
512	2	3	0.000150710062825965	1	13.6289043	13.514789	RUNGE_KUTTA_DOPRI5
1024	2	3	0.000302074315641221	1	28.9821579	28.88327	RUNGE_KUTTA_DOPRI5
32	4	3	6.18248943595745e-06	1	0.8476504	0.842878	RUNGE_KUTTA_DOPRI5
64	4	3	8.17374201744769e-06	1	1.6486059	1.642665	RUNGE_KUTTA_DOPRI5
128	4	3	2.91878872076268e-05	1	3.3691545	3.3933445	RUNGE_KUTTA_DOPRI5
256	4	3	7.95657352909984e-05	1	6.5577532	6.5490325	RUNGE_KUTTA_DOPRI5
512	4	3	0.000148726158727186	1	12.7708932	12.6732025	RUNGE_KUTTA_DOPRI5
1024	4	3	0.000292181218128462	1	26.582555	26.5824525	RUNGE_KUTTA_DOPRI5
32	8	3	1.73393497178154e-05	1	1.0464963	1.04263	RUNGE_KUTTA_DOPRI5
64	8	3	1.68995071163636e-05	1	2.045654	2.03114	RUNGE_KUTTA_DOPRI5
128	8	3	4.69769993571845e-05	1	4.2773496	4.2824705	RUNGE_KUTTA_DOPRI5
256	8	3	6.98579308391345e-05	1	8.5241747	8.500284	RUNGE_KUTTA_DOPRI5
512	8	3	0.000191961468203772	1	18.0403977	18.128068	RUNGE_KUTTA_DOPRI5
1024	8	3	0.000254290692964787	1	31.9220588	31.8541915	RUNGE_KUTTA_DOPRI5
32	16	3	2.23590811145868e-05	1	1.4762214	1.4876235	RUNGE_KUTTA_DOPRI5
64	16	3	3.75009695545714e-05	1	2.6057919	2.6001585	RUNGE_KUTTA_DOPRI5
128	16	3	3.53201050984353e-05	1	5.2952402	4.9486795	RUNGE_KUTTA_DOPRI5
256	16	3	9.58525861278758e-05	1	9.7168155	9.6401045	RUNGE_KUTTA_DOPRI5
512	16	3	0.000156220068674884	1	18.9724138	18.782428	RUNGE_KUTTA_DOPRI5
1024	16	3	0.000278915160379256	1	38.9875191	39.1593665	RUNGE_KUTTA_DOPRI5
32	32	3	1.52118532383838e-05	1	1.8114005	1.7906545	RUNGE_KUTTA_DOPRI5
64	32	3	2.63505196187452e-05	1	3.0226225	3.0146685	RUNGE_KUTTA_DOPRI5
128	32	3	4.52564490558416e-05	1	5.3426075	5.2928745	RUNGE_KUTTA_DOPRI5
256	32	3	8.11503188629104e-05	1	11.4816441	11.526043	RUNGE_KUTTA_DOPRI5
512	32	3	0.000128217817632503	1	23.1885094	23.122852	RUNGE_KUTTA_DOPRI5
1024	32	3	0.000278182259080495	1	46.3234154	46.405604	RUNGE_KUTTA_DOPRI5
32	2	0	0.219388407885944	2	0.6116503	0.607046	EULER
64	2	0	0.429300752622154	2	0.9471656	0.9384695	EULER
128	2	0	0.173081251253194	2	2.0799464	2.0453055	EULER
256	2	0	1.5028583768418	2	3.4035371	3.4035125	EULER
512	2	0	6.40081619022158	2	5.6643058	5.7157075	EULER
1024	2	0	10.4054712899169	2	12.2809678	12.2695575	EULER
32	4	0	0.280005359211003	2	0.358299	0.3462655	EULER
64	4	0	0.16807883960675	2	0.8557233	0.849397	EULER
128	4	0	0.351600456909722	2	1.7073589	1.6950015	EULER
256	4	0	2.83572251034019	2	2.6329298	2.6035615	EULER
512	4	0	4.65211825245729	2	6.0040605	6.0124245	EULER
1024	4	0	8.5957203755388	2	11.8799099	11.6627575	EULER
32	8	0	0.25489570265924	2	0.4526195	0.4456905	EULER
64	8	0	1.2915239525453	2	0.9182073	0.9003395	EULER
128	8	0	2.06467538992916	2	1.5327727	1.529751	EULER
256	8	0	2.31151134160416	2	3.9620104	3.928497	EULER
512	8	0	4.73979797044024	2	7.0417295	7.0518155	EULER
