ntips	nstates	this_algo	error	rep	mean_time	median_time	algo
1024	2	2	0.000552725478200955	1	17.606999	17.5323995	SEQUENTIAL_BRANCHWISE
32	4	2	2.71410669157035e-05	1	0.7944406	0.7841455	SEQUENTIAL_BRANCHWISE
64	4	2	3.92330113925254e-05	1	1.1463313	1.1347365	SEQUENTIAL_BRANCHWISE
128	4	2	7.42839901874959e-05	1	1.9727642	1.957299	SEQUENTIAL_BRANCHWISE
256	4	2	0.00014584899190595	1	4.3019701	4.29024	SEQUENTIAL_BRANCHWISE
512	4	2	0.000288880302491634	1	8.2054407	8.2741895	SEQUENTIAL_BRANCHWISE
1024	4	2	0.000618586828750267	1	17.97686	17.954966	SEQUENTIAL_BRANCHWISE
32	8	2	1.85811398978331e-05	1	0.8181345	0.810324	SEQUENTIAL_BRANCHWISE
64	8	2	2.94267489806543e-05	1	1.3775057	1.3927905	SEQUENTIAL_BRANCHWISE
128	8	2	6.54290285524439e-05	1	2.6553896	2.6363	SEQUENTIAL_BRANCHWISE
256	8	2	0.000141382739627716	1	5.3251333	5.221309	SEQUENTIAL_BRANCHWISE
512	8	2	0.000278008133250296	1	10.0175341	9.9343205	SEQUENTIAL_BRANCHWISE
1024	8	2	0.00052618371933022	1	20.7387471	20.8842315	SEQUENTIAL_BRANCHWISE
32	16	2	2.21703231986226e-05	1	1.208434	1.200398	SEQUENTIAL_BRANCHWISE
64	16	2	4.22402813597955e-05	1	1.8525932	1.850043	SEQUENTIAL_BRANCHWISE
128	16	2	6.82748284361878e-05	1	2.9061046	2.883284	SEQUENTIAL_BRANCHWISE
256	16	2	0.000140634951833363	1	5.8613477	5.902606	SEQUENTIAL_BRANCHWISE
512	16	2	0.00026974715558481	1	11.9891749	11.981471	SEQUENTIAL_BRANCHWISE
1024	16	2	0.000590170314580973	1	25.947752	26.0387105	SEQUENTIAL_BRANCHWISE
32	32	2	2.90502223663225e-05	1	0.9569195	0.9492935	SEQUENTIAL_BRANCHWISE
64	32	2	4.15520221821453e-05	1	2.0717587	2.0692495	SEQUENTIAL_BRANCHWISE
128	32	2	7.61576211516513e-05	1	3.7135832	3.70107	SEQUENTIAL_BRANCHWISE
