ntips	nstates	rep	true	likelihood	error	mean_time	median_time	method
32	2	2	-34.9817567580125	-34.9817572895709	5.31558441707602e-07	0.5228525	0.516026	diversitree
32	2	2	-34.9817567580125	-34.9817727400546	1.59820421217205e-05	0.621109	0.615082	tensorphylo
64	2	2	-72.1092873794419	-72.1058895429345	0.00339783650737502	2.8272739	2.823875	castor
64	2	2	-72.1092873794419	-72.1092884265156	1.04707370951473e-06	1.0405718	1.035045	diversitree
64	2	2	-72.1092873794419	-72.1093192373541	3.18579122478013e-05	1.0755489	1.0790995	tensorphylo
128	2	2	-176.203525186997	-176.206040678906	0.0025154919090653	4.2592358	4.2439715	castor
128	2	2	-176.203525186997	-176.203527806013	2.6190164419404e-06	2.1379737	2.1308725	diversitree
128	2	2	-176.203525186997	-176.203588949023	6.37620267696093e-05	2.4505413	2.405265	tensorphylo
256	2	2	-366.487915038454	-366.496966114182	0.00905107572873476	4.498848	4.5103895	castor
256	2	2	-366.487915038454	-366.487920367231	5.32877714931601e-06	4.1489581	4.1416765	diversitree
256	2	2	-366.487915038454	-366.488053138093	0.000138099639002576	4.9326813	4.913235	tensorphylo
512	2	2	-682.585345877337	-682.556445665694	0.0289002116434176	4.3234951	4.3229785	castor
512	2	2	-682.585345877337	-682.58535571964	9.84230234735151e-06	8.8271401	8.648007	diversitree
512	2	2	-682.585345877337	-682.585633540812	0.00028766347486453	8.5885242	8.529394	tensorphylo
1024	2	2	-1390.6665536299	-1390.65275080149	0.0138028284102347	5.6395418	5.608144	castor
1024	2	2	-1390.6665536299	-1390.66657355621	1.99263054128096e-05	18.2212897	17.6220665	diversitree
1024	2	2	-1390.6665536299	-1390.66712738832	0.000573758419477599	17.4051068	17.2721315	tensorphylo
32	4	2	-34.4874305202215	-34.4864706743001	0.000959845921407521	4.2935651	4.2636515	castor
32	4	2	-34.4874305202215	-34.4874312505339	7.30312429197966e-07	0.5937702	0.5870175	diversitree
32	4	2	-34.4874305202215	-34.4874422622572	1.17420356673392e-05	0.5889937	0.5891085	tensorphylo
64	4	2	-88.6156479891656	-88.6112042514929	0.00444373767268758	4.1787856	4.170397	castor
64	4	2	-88.6156479891656	-88.6156499484773	1.95931168889274e-06	1.1414933	1.1386725	diversitree
64	4	2	-88.6156479891656	-88.6156901267896	4.21376240069549e-05	1.1842358	1.1835675	tensorphylo
128	4	2	-157.252177922146	-157.249963097061	0.00221482508513304	5.4292323	5.4194415	castor
128	4	2	-157.252177922146	-157.252181446344	3.52419814930727e-06	2.3340849	2.32593	diversitree
128	4	2	-157.252177922146	-157.25224039313	6.247098403378e-05	2.0368431	2.032288	tensorphylo
256	4	2	-324.343515311599	-324.34100788821	0.00250742338829468	6.5277371	6.4989305	castor
256	4	2	-324.343515311599	-324.343523223195	7.9115967537291e-06	4.6501544	4.575518	diversitree
256	4	2	-324.343515311599	-324.343659334803	0.000144023204256882	3.9079806	3.906972	tensorphylo
512	4	2	-672.591382076684	-672.584220337116	0.00716173956755028	7.0686214	7.095214	castor
512	4	2	-672.591382076684	-672.59139661776	1.4541075984198e-05	9.9956524	9.612409	diversitree
512	4	2	-672.591382076684	-672.591665876507	0.000283799823932895	8.0923176	8.1260565	tensorphylo
1024	4	2	-1352.59385860614	-1352.57772607037	0.0161325357728401	8.6562726	8.617257	castor
1024	4	2	-1352.59385860614	-1352.59389120254	3.25963942486851e-05	20.1403603	19.580411	diversitree
1024	4	2	-1352.59385860614	-1352.59442313963	0.000564533484748608	16.6835314	16.745794	tensorphylo
32	8	2	-42.3661165685842	-42.3644708579179	0.00164571066626706	10.8901371	10.864098	castor
32	8	2	-42.3661165685842	-42.366117579786	1.01120185291848e-06	0.7779996	0.7726655	diversitree
32	8	2	-42.3661165685842	-42.3661386827359	2.21141517542378e-05	0.8747555	0.882525	tensorphylo
64	8	2	-71.9247212033932	-71.9253499059671	0.000628702573948203	14.8569691	14.6602675	castor
64	8	2	-71.9247212033932	-71.9247234519575	2.24856432851084e-06	1.5414647	1.52643	diversitree
64	8	2	-71.9247212033932	-71.9247581599353	3.69565421749485e-05	1.3432379	1.355255	tensorphylo
128	8	2	-144.9841596079	-144.983097192274	0.00106241562565401	15.2646567	15.192181	castor
128	8	2	-144.9841596079	-144.984162786506	3.17860678933357e-06	3.0588747	3.065529	diversitree
128	8	2	-144.9841596079	-144.984231608412	7.2000511920578e-05	2.3211002	2.348562	tensorphylo
256	8	2	-277.44423339225	-277.441505544027	0.00272784822328731	15.3075632	15.2894535	castor
256	8	2	-277.44423339225	-277.444240376753	6.98450332947687e-06	6.0061146	5.9703175	diversitree
256	8	2	-277.44423339225	-277.444377062385	0.000143670135457796	4.3589437	4.3255	tensorphylo
512	8	2	-621.113456859549	-621.112123798151	0.00133306139855449	20.6450498	20.37372	castor
512	8	2	-621.113456859549	-621.113471573412	1.47138625834486e-05	13.0876838	13.085724	diversitree
512	8	2	-621.113456859549	-621.113742121133	0.000285261584053842	9.7483691	9.6034505	tensorphylo
1024	8	2	-1339.57677240079	-1339.55456865758	0.0222037432138222	21.5481732	21.4590105	castor
1024	8	2	-1339.57677240079	-1339.57680524587	3.28450812503434e-05	26.7201797	25.858372	diversitree
1024	8	2	-1339.57677240079	-1339.57736422401	0.000591823224567634	19.8629666	19.7315575	tensorphylo
32	16	2	-44.8298964758375	-44.8326120865905	0.00271561075302884	90.2983631	89.5167965	castor
32	16	2	-44.8298964758375	-44.8298978938386	1.41800117603452e-06	1.3622619	1.368785	diversitree
32	16	2	-44.8298964758375	-44.8299130628043	1.6586966872012e-05	1.0923507	1.077849	tensorphylo
64	16	2	-78.2806891773764	-78.2771855857401	0.00350359163631708	62.6396073	61.679211	castor
64	16	2	-78.2806891773764	-78.2806907672027	1.58982628306603e-06	2.5702572	2.5337795	diversitree
64	16	2	-78.2806891773764	-78.2807299099756	4.0732599131843e-05	1.7046447	1.5425635	tensorphylo
128	16	2	-143.122193881748	-143.117568227976	0.00462565377213764	90.0150367	89.8055595	castor
128	16	2	-143.122193881748	-143.122196782197	2.90044903294984e-06	4.8222847	4.8297795	diversitree
128	16	2	-143.122193881748	-143.122240941921	4.70601727897701e-05	2.8190001	2.818012	tensorphylo
256	16	2	-346.524152211474	-346.533088327205	0.00893611573138742	146.9479073	146.6340605	castor
256	16	2	-346.524152211474	-346.524166146948	1.3935473816673e-05	10.1996643	10.1451425	diversitree
256	16	2	-346.524152211474	-346.524296007112	0.000143795638280153	6.4585578	6.431424	tensorphylo
512	16	2	-718.313742703618	-718.297293487708	0.0164492159098018	120.325201	120.1262895	castor
512	16	2	-718.313742703618	-718.313763957038	2.12534197316927e-05	20.6485512	20.161791	diversitree
512	16	2	-718.313742703618	-718.314091218571	0.000348514953316226	12.894992	12.7235505	tensorphylo
1024	16	2	-1349.19160187167	-1349.20033832888	0.00873645721048888	149.2040102	150.368443	castor
1024	16	2	-1349.19160187167	-1349.19164645682	4.45851469521585e-05	42.1933132	41.267484	diversitree
1024	16	2	-1349.19160187167	-1349.19219281961	0.000590947938235331	23.3821852	22.700962	tensorphylo
32	32	2	-40.9334294705062	-40.9336551910632	0.000225720556962017	688.7309888	690.786696	castor
32	32	2	-40.9334294705062	-40.9334313460675	1.87556130981648e-06	2.008262	2.034174	diversitree
32	32	2	-40.9334294705062	-40.9334467882864	1.73177801841007e-05	1.1570528	1.1563025	tensorphylo
64	32	2	-75.3300874438651	-75.3250588068776	0.00502863698753231	464.2724626	466.5183565	castor
64	32	2	-75.3300874438651	-75.3300893511645	1.90729943483348e-06	3.9897305	4.016729	diversitree
