ntips	nstates	rep	likelihood	mean_time	median_time	method
256	2	2	-536.736323784651	8.9430061	8.9248595	tensorphylo
256	2	2	-342.174946279231	4.643742	4.6501585	diversitree
512	2	2	-1187.38136485462	18.4240921	18.4223455	tensorphylo
512	2	2	-698.191650583991	9.8181552	9.3326045	diversitree
1024	2	2	-2285.63643463182	34.8304799	34.516506	tensorphylo
1024	2	2	-1331.91674520082	20.1317462	18.992102	diversitree
32	4	2	-98.4603949796634	1.6249612	1.61786	tensorphylo
32	4	2	-49.1096262544077	0.8326075	0.820656	diversitree
64	4	2	-133.694498453172	2.466314	2.4622755	tensorphylo
64	4	2	-83.3216947306903	1.5984629	1.5957405	diversitree
128	4	2	-309.425220239209	5.3301886	5.32057	tensorphylo
128	4	2	-160.536497653902	3.1621742	3.1543145	diversitree
256	4	2	-794.31513600113	11.7317482	11.7141715	tensorphylo
256	4	2	-334.323068138814	6.4395174	6.341183	diversitree
512	4	2	-1334.1258634526	21.6698612	21.692157	tensorphylo
512	4	2	-663.956640107407	13.341933	12.8288385	diversitree
1024	4	2	-2840.2738495476	45.7081489	45.3494235	tensorphylo
1024	4	2	-1330.00331495417	27.3886191	25.857101	diversitree
32	8	2	-107.33866471996	3.2682986	3.2701395	tensorphylo
32	8	2	-66.5050359835494	2.0565846	2.041431	diversitree
64	8	2	-186.604560001067	5.0598223	5.0585595	tensorphylo
64	8	2	-91.4469430329402	3.4799447	3.469953	diversitree
128	8	2	-374.213213484219	8.1564088	8.1375775	tensorphylo
128	8	2	-155.775708363123	6.6418729	6.6180765	diversitree
256	8	2	-758.882871888399	20.5272486	20.4963305	tensorphylo
256	8	2	-387.458976860026	14.4071868	14.4047145	diversitree
512	8	2	-1365.98785804886	32.6200551	32.6695585	tensorphylo
512	8	2	-631.937984973508	28.8401216	27.6218845	diversitree
1024	8	2	-2546.12299734304	63.654878	63.494199	tensorphylo
1024	8	2	-1326.23670687311	59.8370113	56.076848	diversitree
32	16	2	-87.072501730118	4.0080165	3.979747	tensorphylo
32	16	2	-40.3092055258891	7.3373764	7.3311895	diversitree
64	16	2	-164.991678374907	7.1069769	7.1120035	tensorphylo
64	16	2	-78.1913111465608	14.5465786	14.4924545	diversitree
128	16	2	-307.54010027778	14.1043239	14.106132	tensorphylo
128	16	2	-162.596855325586	29.3684312	28.3973995	diversitree
256	16	2	-935.681164189633	30.6084639	30.5927035	tensorphylo
256	16	2	-320.987397869912	60.1758681	57.5816095	diversitree
512	16	2	-1607.86971903059	62.0477108	61.841243	tensorphylo
512	16	2	-672.736568860796	124.1801071	125.5680555	diversitree
1024	16	2	-2920.07423497659	118.6755537	118.904674	tensorphylo
1024	16	2	-1361.16032483394	245.9474913	245.584834	diversitree
32	31	2	-81.2812810969801	5.7241617	5.6896315	tensorphylo
32	31	2	-24.9374515068539	36.8090784	35.72371	diversitree
64	31	2	-238.148502482112	18.6853646	18.201335	tensorphylo
64	31	2	-83.4142787079782	89.2904396	89.6776395	diversitree
128	31	2	-337.074919292758	33.2474494	33.2613115	tensorphylo
128	31	2	-177.065616391671	173.1094702	173.1455215	diversitree
